A,B,C,D,E,F,G,H,K,P,Q,S,T
τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,#LACUNA#,τὸ,τὸ,τὸ,τὸ
ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,#LACUNA#,ὄνομά,ὄνομά,ὄνομά,ὄνομά
μου,μου,μου,μου,μου,μου,μου,μου,#LACUNA#,μου,μου,μου,μου
βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,#LACUNA#,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν
τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,#LACUNA#,τοῖς,τοῖς,τοῖς,τοῖς
ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,#LACUNA#,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.
Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,,Νείλου,Νείλου,Νείλου
μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ,ἡ,,,μοναχοῦ,μοναχοῦ,μοναχοῦ
,,,,,ἀπὸ,,,,,,,
,,,,,τῶν,,,,,,,
,,,,,τῆς,,,,,,,
,,,,,κακίας,,,,,,,
,,,,,ὀκτῶ,,,,,,,
,,,,,λογισμῶν,,,,,,,
Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις
γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς
,πεφαρμακευμένον,,,,,,,,πεφαρμακευμένον,,πεφαρμακευμένον,
βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,βέλος,μέλος
ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ
πεφαρμακευμένον,,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,πεφαρμακευμένον,,πεφαρμακευμένον,,πεφαρμακευμένον
ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε,ἔτρωσε
τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν
"ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,","ψυχὴν,"
καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν
ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν,ἰὸν
"ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,","ἐναπέθετο,"
καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον,ὅσον
"χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,","χρονίζει,"
πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα,πλείονα
τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν
σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν,σῆψιν
ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.,ἐργάζεται.
βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον,βέλτιον
γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ
οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι,οἴκοι
μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα,μένοντα
σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν,σχολάζειν
διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς
τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ
"προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,"
ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ
διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ
τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ
τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν
τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς
ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς
πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον,παρανάλωμα,πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον
γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι
τὸν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν
ἐχθρόν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν
Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε
συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας
γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν
ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν
θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς
"σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,"
καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μηδαμῶς,μὴ
δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,,δῷς
αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐτῆς,αὐταῖς,αὐταῖς,αὐταῖς
παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν
θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι
σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί
ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.
Θάλλει,θάλπει,Θάλλει,Θάλλει,Θάλλει,Θάλλει,Θάλλει,Θάλλει,Θάλλει,θάλπει,Θάλλει,θάλπει,Θάλλει
βοτάνη,,βοτάνη,βοτάνη,βοτάνη,βοτάνη,βοτάνη,βοτάνη,βοτάνη,,βοτάνη,,βοτάνη
ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἰστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἐστῶσα
,βοτάνη,,,,,,,,βοτάνη,,βοτάνη,
παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽
"ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,"
καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος
"ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,"
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις
γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.
τοῦ,τοῦ,τοῦ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τοῦ,#LACUNA#,τοῦ,#LACUNA#
Χρυσοστόμου,Χρυσοστόμου,Χρυσοστόμου,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,Χρυσοστόμου,#LACUNA#,Χρυσοστόμου,#LACUNA#
Τοὺς,Τοὺς,Τοὺς,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,Τοὺς,#LACUNA#,Τοὺς,#LACUNA#
ἐν,ἐν,ἐν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἐν,#LACUNA#,ἐν,#LACUNA#
τῇ,τῇ,τῇ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τῇ,#LACUNA#,τῇ,#LACUNA#
πόλει,πόλει,πόλει,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,πόλει,#LACUNA#,πόλει,#LACUNA#
"βλασφημοῦντας,","βλασφημοῦντας,","βλασφημοῦντας,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"βλασφημοῦντας,",#LACUNA#,"βλασφημοῦντας,",#LACUNA#
σωφρόνιζε.,σωφρόνιζε.,σωφρόνιζε.,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,σωφρόνιζε.,#LACUNA#,σωφρόνιζε.,#LACUNA#
Κἂν,Κἂν,Κἂν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,Κἂν,#LACUNA#,Κἂν,#LACUNA#
ἀκούσῃς,ἀκούσῃς,ἀκούσῃς,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἀκούσῃς,#LACUNA#,ἀκούσῃς,#LACUNA#
τινὸς,τινὸς,τινὸς,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τινὸς,#LACUNA#,τινὸς,#LACUNA#
ἐν,ἐν,ἐν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἐν,#LACUNA#,ἐν,#LACUNA#
ἀμφόδῳ,ἀμφόδῳ,ἀμφόδῳ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἀμφόδῳ,#LACUNA#,ἀμφόδῳ,#LACUNA#
,ἢ,,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἢ,#LACUNA#,ἢ,#LACUNA#
,ἐν,,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἐν,#LACUNA#,ἐν,#LACUNA#
,ὁδῶ,,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ὁδῶ,#LACUNA#,ὁδῶ,#LACUNA#
ἢ,ἢ,ἢ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἢ,#LACUNA#,ἢ,#LACUNA#
ἐν,ἐν,ἐν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἐν,#LACUNA#,ἐν,#LACUNA#
ἀγορᾷ,ἀγορᾷ,ἀγορᾷ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἀγορᾷ,#LACUNA#,ἀγορᾷ,#LACUNA#
βλασφημοῦντος,βλασφημοῦντος,βλασφημοῦντος,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,βλασφημοῦντος,#LACUNA#,βλασφημοῦντος,#LACUNA#
τὸν,τὸν,τὸν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τὸν,#LACUNA#,τὸν,#LACUNA#
"Θεόν,","Θεόν,","Θεόν,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"Θεόν,",#LACUNA#,"Θεόν,",#LACUNA#
"πρόσελθε,","πρόσελθε,","πρόσελθε,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"πρόσελθε,",#LACUNA#,"πρόσελθε,",#LACUNA#
"ἐπιτίμησον,","ἐπιτίμησον,","ἐπιτίμησον,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"ἐπιτίμησον,",#LACUNA#,"ἐπιτίμησον,",#LACUNA#
κἂν,κἂν,κἂν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,κἂν,#LACUNA#,κἂν,#LACUNA#
πληγὰς,πληγὰς,πληγὰς,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,πληγὰς,#LACUNA#,πληγὰς,#LACUNA#
ἐπιθεῖναι,ἐπιθεῖναι,ἐπιθεῖναι,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἐπιθεῖναι,#LACUNA#,ἐπιθεῖναι,#LACUNA#
"δέῃ,","δέῃ,","δέῃ,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"δέῃ,",#LACUNA#,"δέῃ,",#LACUNA#
μὴ,μὴ,μὴ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,μὴ,#LACUNA#,μὴ,#LACUNA#
παραιτήσῃ,παραιτήσῃ,παραιτήσῃ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,παραιτήσῃ,#LACUNA#,παρεστήση,#LACUNA#
ῥάπισον,ῥάπισον,ῥάπισον,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ῥάπισον,#LACUNA#,ῥάπισον,#LACUNA#
αὐτοῦ,αὐτοῦ,αὐτοῦ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,αὐτοῦ,#LACUNA#,αὐτοῦ,#LACUNA#
τὴν,τὴν,τὴν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τὴν,#LACUNA#,τὴν,#LACUNA#
"ὄψιν,","ὄψιν,","ὄψιν,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"ὄψιν,",#LACUNA#,"ὄψιν,",#LACUNA#
σύντριψον,σύντριψον,σύντριψον,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,σύντριψον,#LACUNA#,σύντριψον,#LACUNA#
αὐτοῦ,αὐτοῦ,αὐτοῦ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,αὐτοῦ,#LACUNA#,αὐτοῦ,#LACUNA#
τὸ,τὸ,τὸ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τὸ,#LACUNA#,τὸ,#LACUNA#
"στόμα,","στόμα,","στόμα,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"στόμα,",#LACUNA#,"στόμα,",#LACUNA#
ἁγίασόν,ἁγίασόν,ἁγίασόν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἁγίασόν,#LACUNA#,ἁγίασόν,#LACUNA#
σου,σου,σου,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,σου,#LACUNA#,σου,#LACUNA#
τὴν,τὴν,τὴν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τὴν,#LACUNA#,τὴν,#LACUNA#
χεῖρα,χεῖρα,χεῖρα,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,χεῖρα,#LACUNA#,χεῖρα,#LACUNA#
διὰ,διὰ,διὰ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,διὰ,#LACUNA#,διὰ,#LACUNA#
τῆς,τῆς,τῆς,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τῆς,#LACUNA#,τῆς,#LACUNA#
"πληγῆς,","πληγῆς,","πληγῆς,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"πληγῆς,",#LACUNA#,"πληγῆς,",#LACUNA#
κἂν,κἂν,κἂν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,κἂν,#LACUNA#,κἂν,#LACUNA#
ἐγκαλῶσι,ἐγκαλῶσι,ἐγκαλῶσι,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἐγκαλῶσι,#LACUNA#,ἐγκαλῶσι,#LACUNA#
"τινές,","τινές,","τινές,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"τινές,",#LACUNA#,"τινές,",#LACUNA#
κὰν,κὰν,κὰν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,κὰν,#LACUNA#,κὰν,#LACUNA#
εἰς,εἰς,εἰς,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,εἰς,#LACUNA#,εἰς,#LACUNA#
δικαστήριον,δικαστήριον,δικαστήριον,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,δικαστήριον,#LACUNA#,δικαστήριον,#LACUNA#
"ἕλκωσιν,","ἕλκωσιν,","ἕλκωσιν,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"ἕλκωσιν,",#LACUNA#,"ἕλκωσιν,",#LACUNA#
ἀκολούθησον.,ἀκολούθησον.,ἀκολούθησον.,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἀκολούθησον.,#LACUNA#,ἀκολούθησον.,#LACUNA#